ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language,combined,clean
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English,How to Manage Fear and Anxiety Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life. anxiety|coping|fear|mental-health Guide supportive all English,manag fear anxieti comprehens guid explain origin fear anxieti practic cope strategi daili life anxieti cope fear mental health guid support english
338,Curtin Malaysia Counselling,Curtin University Malaysia campus counselling services for student mental health support.,https://www.curtin.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,Curtin Malaysia,English,Curtin Malaysia Counselling Curtin University Malaysia campus counselling services for student mental health support. students|counseling|malaysia|university Helpline supportive students English,curtin malaysia counsel curtin univers malaysia campu counsel servic student mental health support student counsel malaysia univers helplin support student english
338,Curtin Malaysia Counselling,Curtin University Malaysia campus counselling services for student mental health support.,https://www.curtin.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,Curtin Malaysia,English,Curtin Malaysia Counselling Curtin University Malaysia campus counselling services for student mental health support. students|counseling|malaysia|university Helpline supportive students English,curtin malaysia counsel curtin univers malaysia campu counsel servic student mental health support student counsel malaysia univers helplin support student english
339,Flash Technique for Trauma,New technique for processing traumatic memories with reduced distress during therapy.,https://www.flashtechnique.com/,Article,trauma|flash-technique|processing|emdr,informative,all,Flash Technique,English,Flash Technique for Trauma New technique for processing traumatic memories with reduced distress during therapy. trauma|flash-technique|processing|emdr Article informative all English,flash techniqu trauma new techniqu process traumat memori reduc distress therapi trauma flash techniqu process emdr articl inform english
339,Flash Technique for Trauma,New technique for processing traumatic memories with reduced distress during therapy.,https://www.flashtechnique.com/,Article,trauma|flash-technique|processing|emdr,informative,all,Flash Technique,English,Flash Technique for Trauma New technique for processing traumatic memories with reduced distress during therapy. trauma|flash-technique|processing|emdr Article informative all English,flash techniqu trauma new techniqu process traumat memori reduc distress therapi trauma flash techniqu process emdr articl inform english
340,Spa Music Relaxation,Two-hour tranquil spa music for meditation yoga or deep relaxation.,https://www.youtube.com/watch?v=5OC4c8dXdRI,Audio,relaxation|spa|meditation|tranquil,calm,all,Yellow Brick Cinema,English,Spa Music Relaxation Two-hour tranquil spa music for meditation yoga or deep relaxation. relaxation|spa|meditation|tranquil Audio calm all English,spa music relax two hour tranquil spa music medit yoga deep relax relax spa medit tranquil audio calm english
340,Spa Music Relaxation,Two-hour tranquil spa music for meditation yoga or deep relaxation.,https://www.youtube.com/watch?v=5OC4c8dXdRI,Audio,relaxation|spa|meditation|tranquil,calm,all,Yellow Brick Cinema,English,Spa Music Relaxation Two-hour tranquil spa music for meditation yoga or deep relaxation. relaxation|spa|meditation|tranquil Audio calm all English,spa music relax two hour tranquil spa music medit yoga deep relax relax spa medit tranquil audio calm english
341,UOW Malaysia Counselling,University of Wollongong Malaysia campus counselling services for students.,https://www.uow.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,UOW Malaysia,English,UOW Malaysia Counselling University of Wollongong Malaysia campus counselling services for students. students|counseling|malaysia|university Helpline supportive students English,uow malaysia counsel univers wollongong malaysia campu counsel servic student student counsel malaysia univers helplin support student english
341,UOW Malaysia Counselling,University of Wollongong Malaysia campus counselling services for students.,https://www.uow.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,UOW Malaysia,English,UOW Malaysia Counselling University of Wollongong Malaysia campus counselling services for students. students|counseling|malaysia|university Helpline supportive students English,uow malaysia counsel univers wollongong malaysia campu counsel servic student student counsel malaysia univers helplin support student english
342,Somatic Tracking for Pain,Mind-body technique for reprocessing pain signals and reducing pain-related anxiety.,https://www.curablehealth.com/,Article,pain|somatic|anxiety|chronic-pain,informative,all,Curable,English,Somatic Tracking for Pain Mind-body technique for reprocessing pain signals and reducing pain-related anxiety. pain|somatic|anxiety|chronic-pain Article informative all English,somat track pain mind bodi techniqu reprocess pain signal reduc pain relat anxieti pain somat anxieti chronic pain articl inform english
342,Somatic Tracking for Pain,Mind-body technique for reprocessing pain signals and reducing pain-related anxiety.,https://www.curablehealth.com/,Article,pain|somatic|anxiety|chronic-pain,informative,all,Curable,English,Somatic Tracking for Pain Mind-body technique for reprocessing pain signals and reducing pain-related anxiety. pain|somatic|anxiety|chronic-pain Article informative all English,somat track pain mind bodi techniqu reprocess pain signal reduc pain relat anxieti pain somat anxieti chronic pain articl inform english
343,Deep Sleep Rain and Piano,Eight-hour rain sounds with soft piano for peaceful uninterrupted sleep.,https://www.youtube.com/watch?v=hlWiI4xVXKY,Audio,sleep|rain|piano|peaceful,calm,all,Soothing Relaxation,English,Deep Sleep Rain and Piano Eight-hour rain sounds with soft piano for peaceful uninterrupted sleep. sleep|rain|piano|peaceful Audio calm all English,deep sleep rain piano eight hour rain sound soft piano peac uninterrupt sleep sleep rain piano peac audio calm english
343,Deep Sleep Rain and Piano,Eight-hour rain sounds with soft piano for peaceful uninterrupted sleep.,https://www.youtube.com/watch?v=hlWiI4xVXKY,Audio,sleep|rain|piano|peaceful,calm,all,Soothing Relaxation,English,Deep Sleep Rain and Piano Eight-hour rain sounds with soft piano for peaceful uninterrupted sleep. sleep|rain|piano|peaceful Audio calm all English,deep sleep rain piano eight hour rain sound soft piano peac uninterrupt sleep sleep rain piano peac audio calm english
344,Newcastle Medicine Malaysia Counselling,Newcastle University Medicine Malaysia counselling services for medical students.,https://www.nclmed.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,NUMed Malaysia,English,Newcastle Medicine Malaysia Counselling Newcastle University Medicine Malaysia counselling services for medical students. students|counseling|malaysia|university Helpline supportive students English,newcastl medicin malaysia counsel newcastl univers medicin malaysia counsel servic medic student student counsel malaysia univers helplin support student english
344,Newcastle Medicine Malaysia Counselling,Newcastle University Medicine Malaysia counselling services for medical students.,https://www.nclmed.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,NUMed Malaysia,English,Newcastle Medicine Malaysia Counselling Newcastle University Medicine Malaysia counselling services for medical students. students|counseling|malaysia|university Helpline supportive students English,newcastl medicin malaysia counsel newcastl univers medicin malaysia counsel servic medic student student counsel malaysia univers helplin support student english
345,Vagal Toning Exercises,Practices to tone vagus nerve improving emotional regulation and reducing anxiety.,https://www.psychologytoday.com/us/blog/the-athletes-way/202001/how-does-the-vagus-nerve-convey-gut-instincts-the-brain,Article,vagus-nerve|regulation|anxiety|exercises,supportive,all,Psychology Today,English,Vagal Toning Exercises Practices to tone vagus nerve improving emotional regulation and reducing anxiety. vagus-nerve|regulation|anxiety|exercises Article supportive all English,vagal tone exercis practic tone vagu nerv improv emot regul reduc anxieti vagu nerv regul anxieti exercis articl support english
345,Vagal Toning Exercises,Practices to tone vagus nerve improving emotional regulation and reducing anxiety.,https://www.psychologytoday.com/us/blog/the-athletes-way/202001/how-does-the-vagus-nerve-convey-gut-instincts-the-brain,Article,vagus-nerve|regulation|anxiety|exercises,supportive,all,Psychology Today,English,Vagal Toning Exercises Practices to tone vagus nerve improving emotional regulation and reducing anxiety. vagus-nerve|regulation|anxiety|exercises Article supportive all English,vagal tone exercis practic tone vagu nerv improv emot regul reduc anxieti vagu nerv regul anxieti exercis articl support english
346,Ambient Study Cafe Sounds,Three-hour ambient coffee shop sounds for focused studying and productivity.,https://www.youtube.com/watch?v=gaGltwHyCFo,Audio,studying|ambient|focus|cafe,calm,students,Relaxing White Noise,English,Ambient Study Cafe Sounds Three-hour ambient coffee shop sounds for focused studying and productivity. studying|ambient|focus|cafe Audio calm students English,ambient studi cafe sound three hour ambient coffe shop sound focus studi product studi ambient focu cafe audio calm student english
346,Ambient Study Cafe Sounds,Three-hour ambient coffee shop sounds for focused studying and productivity.,https://www.youtube.com/watch?v=gaGltwHyCFo,Audio,studying|ambient|focus|cafe,calm,students,Relaxing White Noise,English,Ambient Study Cafe Sounds Three-hour ambient coffee shop sounds for focused studying and productivity. studying|ambient|focus|cafe Audio calm students English,ambient studi cafe sound three hour ambient coffe shop sound focus studi product studi ambient focu cafe audio calm student english
347,Brickfields Asia College Counselling,Brickfields Asia College counselling services providing mental health support for students.,https://www.bac.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,BAC,English,Brickfields Asia College Counselling Brickfields Asia College counselling services providing mental health support for students. students|counseling|malaysia|university Helpline supportive students English,brickfield asia colleg counsel brickfield asia colleg counsel servic provid mental health support student student counsel malaysia univers helplin support student english
347,Brickfields Asia College Counselling,Brickfields Asia College counselling services providing mental health support for students.,https://www.bac.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,BAC,English,Brickfields Asia College Counselling Brickfields Asia College counselling services providing mental health support for students. students|counseling|malaysia|university Helpline supportive students English,brickfield asia colleg counsel brickfield asia colleg counsel servic provid mental health support student student counsel malaysia univers helplin support student english
348,Attachment Styles and Relationships,Understanding attachment theory and its impact on relationships and mental health.,https://www.psychologytoday.com/us/basics/attachment,Article,attachment|relationships|therapy|awareness,informative,young_adults,Psychology Today,English,Attachment Styles and Relationships Understanding attachment theory and its impact on relationships and mental health. attachment|relationships|therapy|awareness Article informative young_adults English,attach style relationship understand attach theori impact relationship mental health attach relationship therapi awar articl inform young adult english
348,Attachment Styles and Relationships,Understanding attachment theory and its impact on relationships and mental health.,https://www.psychologytoday.com/us/basics/attachment,Article,attachment|relationships|therapy|awareness,informative,young_adults,Psychology Today,English,Attachment Styles and Relationships Understanding attachment theory and its impact on relationships and mental health. attachment|relationships|therapy|awareness Article informative young_adults English,attach style relationship understand attach theori impact relationship mental health attach relationship therapi awar articl inform young adult english
349,Deep Theta Meditation Music,Hour-long theta brain waves meditation music for deep relaxation and healing.,https://www.youtube.com/watch?v=sQEr9w9p3vQ,Audio,meditation|theta-waves|healing|deep-relaxation,calm,all,Meditative Mind,English,Deep Theta Meditation Music Hour-long theta brain waves meditation music for deep relaxation and healing. meditation|theta-waves|healing|deep-relaxation Audio calm all English,deep theta medit music hour long theta brain wave medit music deep relax heal medit theta wave heal deep relax audio calm english
349,Deep Theta Meditation Music,Hour-long theta brain waves meditation music for deep relaxation and healing.,https://www.youtube.com/watch?v=sQEr9w9p3vQ,Audio,meditation|theta-waves|healing|deep-relaxation,calm,all,Meditative Mind,English,Deep Theta Meditation Music Hour-long theta brain waves meditation music for deep relaxation and healing. meditation|theta-waves|healing|deep-relaxation Audio calm all English,deep theta medit music hour long theta brain wave medit music deep relax heal medit theta wave heal deep relax audio calm english
350,Swinburne Sarawak Counselling,Swinburne University of Technology Sarawak campus student counselling services.,https://www.swinburne.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,Swinburne Sarawak,English,Swinburne Sarawak Counselling Swinburne University of Technology Sarawak campus student counselling services. students|counseling|malaysia|university Helpline supportive students English,swinburn sarawak counsel swinburn univers technolog sarawak campu student counsel servic student counsel malaysia univers helplin support student english
350,Swinburne Sarawak Counselling,Swinburne University of Technology Sarawak campus student counselling services.,https://www.swinburne.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,Swinburne Sarawak,English,Swinburne Sarawak Counselling Swinburne University of Technology Sarawak campus student counselling services. students|counseling|malaysia|university Helpline supportive students English,swinburn sarawak counsel swinburn univers technolog sarawak campu student counsel servic student counsel malaysia univers helplin support student english
351,Co-Regulation and Connection,Understanding co-regulation and its importance for nervous system regulation and wellbeing.,https://www.psychologytoday.com/us/blog/going-beyond-intelligence/202011/what-is-coregulation,Article,regulation|connection|relationships|nervous-system,informative,all,Psychology Today,English,Co-Regulation and Connection Understanding co-regulation and its importance for nervous system regulation and wellbeing. regulation|connection|relationships|nervous-system Article informative all English,co regul connect understand co regul import nervou system regul wellb regul connect relationship nervou system articl inform english
351,Co-Regulation and Connection,Understanding co-regulation and its importance for nervous system regulation and wellbeing.,https://www.psychologytoday.com/us/blog/going-beyond-intelligence/202011/what-is-coregulation,Article,regulation|connection|relationships|nervous-system,informative,all,Psychology Today,English,Co-Regulation and Connection Understanding co-regulation and its importance for nervous system regulation and wellbeing. regulation|connection|relationships|nervous-system Article informative all English,co regul connect understand co regul import nervou system regul wellb regul connect relationship nervou system articl inform english
352,Library Ambience Study Sounds,Two-hour quiet library ambience with subtle sounds for focused studying.,https://www.youtube.com/watch?v=k2C9y7TJcMQ,Audio,studying|library|ambience|focus,calm,students,Relaxing White Noise,English,Library Ambience Study Sounds Two-hour quiet library ambience with subtle sounds for focused studying. studying|library|ambience|focus Audio calm students English,librari ambienc studi sound two hour quiet librari ambienc subtl sound focus studi studi librari ambienc focu audio calm student english
352,Library Ambience Study Sounds,Two-hour quiet library ambience with subtle sounds for focused studying.,https://www.youtube.com/watch?v=k2C9y7TJcMQ,Audio,studying|library|ambience|focus,calm,students,Relaxing White Noise,English,Library Ambience Study Sounds Two-hour quiet library ambience with subtle sounds for focused studying. studying|library|ambience|focus Audio calm students English,librari ambienc studi sound two hour quiet librari ambienc subtl sound focus studi studi librari ambienc focu audio calm student english
353,RCSI Dublin Counselling,Royal College of Surgeons in Ireland and UCD Malaysia Campus counselling services.,https://www.rcsi.com/malaysia,Helpline,students|counseling|malaysia|university,supportive,students,RCSI-UCD Malaysia,English,RCSI Dublin Counselling Royal College of Surgeons in Ireland and UCD Malaysia Campus counselling services. students|counseling|malaysia|university Helpline supportive students English,rcsi dublin counsel royal colleg surgeon ireland ucd malaysia campu counsel servic student counsel malaysia univers helplin support student english
353,RCSI Dublin Counselling,Royal College of Surgeons in Ireland and UCD Malaysia Campus counselling services.,https://www.rcsi.com/malaysia,Helpline,students|counseling|malaysia|university,supportive,students,RCSI-UCD Malaysia,English,RCSI Dublin Counselling Royal College of Surgeons in Ireland and UCD Malaysia Campus counselling services. students|counseling|malaysia|university Helpline supportive students English,rcsi dublin counsel royal colleg surgeon ireland ucd malaysia campu counsel servic student counsel malaysia univers helplin support student english
354,Understanding Neurodivergence,Comprehensive guide to neurodivergence including ADHD autism and learning differences.,https://www.understood.org/en/articles/neurodiversity-what-you-need-to-know,Article,neurodiversity|adhd|autism|awareness,informative,young_adults,Understood,English,Understanding Neurodivergence Comprehensive guide to neurodivergence including ADHD autism and learning differences. neurodiversity|adhd|autism|awareness Article informative young_adults English,understand neurodiverg comprehens guid neurodiverg includ adhd autism learn differ neurodivers adhd autism awar articl inform young adult english
354,Understanding Neurodivergence,Comprehensive guide to neurodivergence including ADHD autism and learning differences.,https://www.understood.org/en/articles/neurodiversity-what-you-need-to-know,Article,neurodiversity|adhd|autism|awareness,informative,young_adults,Understood,English,Understanding Neurodivergence Comprehensive guide to neurodivergence including ADHD autism and learning differences. neurodiversity|adhd|autism|awareness Article informative young_adults English,understand neurodiverg comprehens guid neurodiverg includ adhd autism learn differ neurodivers adhd autism awar articl inform young adult english
355,Gentle Night Rain Sleep,Ten-hour soft night rain for continuous peaceful sleep without interruption.,https://www.youtube.com/watch?v=q76bMs-NwRk,Audio,sleep|rain|night|gentle,calm,all,Relaxing White Noise,English,Gentle Night Rain Sleep Ten-hour soft night rain for continuous peaceful sleep without interruption. sleep|rain|night|gentle Audio calm all English,gentl night rain sleep ten hour soft night rain continu peac sleep without interrupt sleep rain night gentl audio calm english
355,Gentle Night Rain Sleep,Ten-hour soft night rain for continuous peaceful sleep without interruption.,https://www.youtube.com/watch?v=q76bMs-NwRk,Audio,sleep|rain|night|gentle,calm,all,Relaxing White Noise,English,Gentle Night Rain Sleep Ten-hour soft night rain for continuous peaceful sleep without interruption. sleep|rain|night|gentle Audio calm all English,gentl night rain sleep ten hour soft night rain continu peac sleep without interrupt sleep rain night gentl audio calm english
356,IMU University Cyberjaya Counselling,International Medical University Cyberjaya counselling for medical student mental health.,https://www.imu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,IMU Cyberjaya,English,IMU University Cyberjaya Counselling International Medical University Cyberjaya counselling for medical student mental health. students|counseling|malaysia|university Helpline supportive students English,imu univers cyberjaya counsel intern medic univers cyberjaya counsel medic student mental health student counsel malaysia univers helplin support student english
356,IMU University Cyberjaya Counselling,International Medical University Cyberjaya counselling for medical student mental health.,https://www.imu.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,IMU Cyberjaya,English,IMU University Cyberjaya Counselling International Medical University Cyberjaya counselling for medical student mental health. students|counseling|malaysia|university Helpline supportive students English,imu univers cyberjaya counsel intern medic univers cyberjaya counsel medic student mental health student counsel malaysia univers helplin support student english
357,Somatic Experiencing Self-Help,Self-help guide to somatic experiencing principles for nervous system regulation.,https://traumahealing.org/se-101/,Article,somatic|trauma|self-help|regulation,informative,all,Somatic Experiencing,English,Somatic Experiencing Self-Help Self-help guide to somatic experiencing principles for nervous system regulation. somatic|trauma|self-help|regulation Article informative all English,somat experienc self help self help guid somat experienc principl nervou system regul somat trauma self help regul articl inform english
357,Somatic Experiencing Self-Help,Self-help guide to somatic experiencing principles for nervous system regulation.,https://traumahealing.org/se-101/,Article,somatic|trauma|self-help|regulation,informative,all,Somatic Experiencing,English,Somatic Experiencing Self-Help Self-help guide to somatic experiencing principles for nervous system regulation. somatic|trauma|self-help|regulation Article informative all English,somat experienc self help self help guid somat experienc principl nervou system regul somat trauma self help regul articl inform english
358,Focus Music Deep Work,Four-hour uninterrupted deep work music for maximum concentration and flow.,https://www.youtube.com/watch?v=f02mOEt11OQ,Audio,focus|deep-work|concentration|flow,calm,students,Calm,English,Focus Music Deep Work Four-hour uninterrupted deep work music for maximum concentration and flow. focus|deep-work|concentration|flow Audio calm students English,focu music deep work four hour uninterrupt deep work music maximum concentr flow focu deep work concentr flow audio calm student english
358,Focus Music Deep Work,Four-hour uninterrupted deep work music for maximum concentration and flow.,https://www.youtube.com/watch?v=f02mOEt11OQ,Audio,focus|deep-work|concentration|flow,calm,students,Calm,English,Focus Music Deep Work Four-hour uninterrupted deep work music for maximum concentration and flow. focus|deep-work|concentration|flow Audio calm students English,focu music deep work four hour uninterrupt deep work music maximum concentr flow focu deep work concentr flow audio calm student english
359,Quest International University Counselling,Quest International University Perak counselling services for student mental health.,https://www.qiup.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,QIU Perak,English,Quest International University Counselling Quest International University Perak counselling services for student mental health. students|counseling|malaysia|university Helpline supportive students English,quest intern univers counsel quest intern univers perak counsel servic student mental health student counsel malaysia univers helplin support student english
359,Quest International University Counselling,Quest International University Perak counselling services for student mental health.,https://www.qiup.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,QIU Perak,English,Quest International University Counselling Quest International University Perak counselling services for student mental health. students|counseling|malaysia|university Helpline supportive students English,quest intern univers counsel quest intern univers perak counsel servic student mental health student counsel malaysia univers helplin support student english
360,Polyvagal Ladder Concept,Visual tool understanding nervous system states from shutdown to social engagement.,https://www.therapistaid.com/therapy-worksheet/polyvagal-ladder,Guide,polyvagal|nervous-system|regulation|awareness,informative,all,Therapist Aid,English,Polyvagal Ladder Concept Visual tool understanding nervous system states from shutdown to social engagement. polyvagal|nervous-system|regulation|awareness Guide informative all English,polyvag ladder concept visual tool understand nervou system state shutdown social engag polyvag nervou system regul awar guid inform english
360,Polyvagal Ladder Concept,Visual tool understanding nervous system states from shutdown to social engagement.,https://www.therapistaid.com/therapy-worksheet/polyvagal-ladder,Guide,polyvagal|nervous-system|regulation|awareness,informative,all,Therapist Aid,English,Polyvagal Ladder Concept Visual tool understanding nervous system states from shutdown to social engagement. polyvagal|nervous-system|regulation|awareness Guide informative all English,polyvag ladder concept visual tool understand nervou system state shutdown social engag polyvag nervou system regul awar guid inform english
361,Cosmic Meditation Space Music,Hour-long space ambient music for deep meditation and cosmic consciousness.,https://www.youtube.com/watch?v=1ZYbU82GVz4,Audio,meditation|space|cosmic|ambient,calm,all,Meditative Mind,English,Cosmic Meditation Space Music Hour-long space ambient music for deep meditation and cosmic consciousness. meditation|space|cosmic|ambient Audio calm all English,cosmic medit space music hour long space ambient music deep medit cosmic conscious medit space cosmic ambient audio calm english
361,Cosmic Meditation Space Music,Hour-long space ambient music for deep meditation and cosmic consciousness.,https://www.youtube.com/watch?v=1ZYbU82GVz4,Audio,meditation|space|cosmic|ambient,calm,all,Meditative Mind,English,Cosmic Meditation Space Music Hour-long space ambient music for deep meditation and cosmic consciousness. meditation|space|cosmic|ambient Audio calm all English,cosmic medit space music hour long space ambient music deep medit cosmic conscious medit space cosmic ambient audio calm english
362,Malaysian Mental Health Act Guide,Comprehensive guide to mental health legislation and patient rights in Malaysia.,https://www.moh.gov.my/moh/resources/Penerbitan/Akta/Akta%20Mental%20Health%202001.pdf,Article,legislation|rights|malaysia|mental-health,informative,all,MOH Malaysia,English,Malaysian Mental Health Act Guide Comprehensive guide to mental health legislation and patient rights in Malaysia. legislation|rights|malaysia|mental-health Article informative all English,malaysian mental health act guid comprehens guid mental health legisl patient right malaysia legisl right malaysia mental health articl inform english
362,Malaysian Mental Health Act Guide,Comprehensive guide to mental health legislation and patient rights in Malaysia.,https://www.moh.gov.my/moh/resources/Penerbitan/Akta/Akta%20Mental%20Health%202001.pdf,Article,legislation|rights|malaysia|mental-health,informative,all,MOH Malaysia,English,Malaysian Mental Health Act Guide Comprehensive guide to mental health legislation and patient rights in Malaysia. legislation|rights|malaysia|mental-health Article informative all English,malaysian mental health act guid comprehens guid mental health legisl patient right malaysia legisl right malaysia mental health articl inform english
363,Shame and Guilt Workbook,Therapeutic workbook for understanding and working through shame and guilt.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Guilt-and-Shame,Guide,shame|guilt|emotions|workbook,supportive,all,CCI,English,Shame and Guilt Workbook Therapeutic workbook for understanding and working through shame and guilt. shame|guilt|emotions|workbook Guide supportive all English,shame guilt workbook therapeut workbook understand work shame guilt shame guilt emot workbook guid support english
363,Shame and Guilt Workbook,Therapeutic workbook for understanding and working through shame and guilt.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Guilt-and-Shame,Guide,shame|guilt|emotions|workbook,supportive,all,CCI,English,Shame and Guilt Workbook Therapeutic workbook for understanding and working through shame and guilt. shame|guilt|emotions|workbook Guide supportive all English,shame guilt workbook therapeut workbook understand work shame guilt shame guilt emot workbook guid support english
364,Fireplace Sounds Relaxation,Three-hour crackling fireplace sounds for cozy relaxation and stress relief.,https://www.youtube.com/watch?v=L_LUpnjgPso,Audio,relaxation|fireplace|cozy|stress,calm,all,Relaxing White Noise,English,Fireplace Sounds Relaxation Three-hour crackling fireplace sounds for cozy relaxation and stress relief. relaxation|fireplace|cozy|stress Audio calm all English,fireplac sound relax three hour crackl fireplac sound cozi relax stress relief relax fireplac cozi stress audio calm english
364,Fireplace Sounds Relaxation,Three-hour crackling fireplace sounds for cozy relaxation and stress relief.,https://www.youtube.com/watch?v=L_LUpnjgPso,Audio,relaxation|fireplace|cozy|stress,calm,all,Relaxing White Noise,English,Fireplace Sounds Relaxation Three-hour crackling fireplace sounds for cozy relaxation and stress relief. relaxation|fireplace|cozy|stress Audio calm all English,fireplac sound relax three hour crackl fireplac sound cozi relax stress relief relax fireplac cozi stress audio calm english
365,Perdana University Counselling,Perdana University Graduate School of Medicine counselling for student support.,https://www.perdanauniversity.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,PU-RCSI,English,Perdana University Counselling Perdana University Graduate School of Medicine counselling for student support. students|counseling|malaysia|university Helpline supportive students English,perdana univers counsel perdana univers graduat school medicin counsel student support student counsel malaysia univers helplin support student english
365,Perdana University Counselling,Perdana University Graduate School of Medicine counselling for student support.,https://www.perdanauniversity.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,PU-RCSI,English,Perdana University Counselling Perdana University Graduate School of Medicine counselling for student support. students|counseling|malaysia|university Helpline supportive students English,perdana univers counsel perdana univers graduat school medicin counsel student support student counsel malaysia univers helplin support student english
366,Emotion Regulation in DBT,Comprehensive guide to DBT emotion regulation skills and their practical application.,https://www.therapistaid.com/therapy-guide/dbt-emotion-regulation-skills,Article,dbt|emotions|regulation|skills,informative,all,Therapist Aid,English,Emotion Regulation in DBT Comprehensive guide to DBT emotion regulation skills and their practical application. dbt|emotions|regulation|skills Article informative all English,emot regul dbt comprehens guid dbt emot regul skill practic applic dbt emot regul skill articl inform english
366,Emotion Regulation in DBT,Comprehensive guide to DBT emotion regulation skills and their practical application.,https://www.therapistaid.com/therapy-guide/dbt-emotion-regulation-skills,Article,dbt|emotions|regulation|skills,informative,all,Therapist Aid,English,Emotion Regulation in DBT Comprehensive guide to DBT emotion regulation skills and their practical application. dbt|emotions|regulation|skills Article informative all English,emot regul dbt comprehens guid dbt emot regul skill practic applic dbt emot regul skill articl inform english
367,Morning Routine Meditation,10-minute energizing morning meditation to start day with clarity and calm.,https://www.youtube.com/watch?v=lUyqD5Fpz4s,Video,meditation|morning|routine|energy,calm,all,Great Meditation,English,Morning Routine Meditation 10-minute energizing morning meditation to start day with clarity and calm. meditation|morning|routine|energy Video calm all English,morn routin medit 10 minut energ morn medit start day clariti calm medit morn routin energi video calm english
367,Morning Routine Meditation,10-minute energizing morning meditation to start day with clarity and calm.,https://www.youtube.com/watch?v=lUyqD5Fpz4s,Video,meditation|morning|routine|energy,calm,all,Great Meditation,English,Morning Routine Meditation 10-minute energizing morning meditation to start day with clarity and calm. meditation|morning|routine|energy Video calm all English,morn routin medit 10 minut energ morn medit start day clariti calm medit morn routin energi video calm english
368,Allianz University Counselling,Allianz University College of Medical Sciences counselling for student mental health.,https://www.allianz.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,AUCMS,English,Allianz University Counselling Allianz University College of Medical Sciences counselling for student mental health. students|counseling|malaysia|university Helpline supportive students English,allianz univers counsel allianz univers colleg medic scienc counsel student mental health student counsel malaysia univers helplin support student english
368,Allianz University Counselling,Allianz University College of Medical Sciences counselling for student mental health.,https://www.allianz.edu.my/,Helpline,students|counseling|malaysia|university,supportive,students,AUCMS,English,Allianz University Counselling Allianz University College of Medical Sciences counselling for student mental health. students|counseling|malaysia|university Helpline supportive students English,allianz univers counsel allianz univers colleg medic scienc counsel student mental health student counsel malaysia univers helplin support student english
369,Understanding Eating Disorder Recovery,Guide to recovery process stages and maintaining long-term eating disorder recovery.,https://www.nationaleatingdisorders.org/recovery,Article,eating-disorders|recovery|stages|support,informative,young_adults,NEDA,English,Understanding Eating Disorder Recovery Guide to recovery process stages and maintaining long-term eating disorder recovery. eating-disorders|recovery|stages|support Article informative young_adults English,understand eat disord recoveri guid recoveri process stage maintain long term eat disord recoveri eat disord recoveri stage support articl inform young adult english
369,Understanding Eating Disorder Recovery,Guide to recovery process stages and maintaining long-term eating disorder recovery.,https://www.nationaleatingdisorders.org/recovery,Article,eating-disorders|recovery|stages|support,informative,young_adults,NEDA,English,Understanding Eating Disorder Recovery Guide to recovery process stages and maintaining long-term eating disorder recovery. eating-disorders|recovery|stages|support Article informative young_adults English,understand eat disord recoveri guid recoveri process stage maintain long term eat disord recoveri eat disord recoveri stage support articl inform young adult english
370,Study Music Mozart Effect,Two-hour Mozart classical music to enhance studying memory and cognitive function.,https://www.youtube.com/watch?v=Rb0UmrCXxVA,Audio,studying|classical|mozart|memory,calm,students,HALIDONMUSIC,English,Study Music Mozart Effect Two-hour Mozart classical music to enhance studying memory and cognitive function. studying|classical|mozart|memory Audio calm students English,studi music mozart effect two hour mozart classic music enhanc studi memori cognit function studi classic mozart memori audio calm student english
370,Study Music Mozart Effect,Two-hour Mozart classical music to enhance studying memory and cognitive function.,https://www.youtube.com/watch?v=Rb0UmrCXxVA,Audio,studying|classical|mozart|memory,calm,students,HALIDONMUSIC,English,Study Music Mozart Effect Two-hour Mozart classical music to enhance studying memory and cognitive function. studying|classical|mozart|memory Audio calm students English,studi music mozart effect two hour mozart classic music enhanc studi memori cognit function studi classic mozart memori audio calm student english
